Country	local_price	dollar_ex	dollar_price	dollar_ppp	dollar_valuation
Argentina	28	9.14	3.0651340996168583	5.845511482254698	-36.009726521568716
Australia	5.3	1.35	3.922265	1.1064718162839249	-18.115553235908145
Brazil		13.5	3.15	4.282519390296128	2.8183716075156577	-10.59458475373427
Britain		2.89	0.64	4.512446	0.6033402922755742	-5.7944467640918536
Canada		5.85	1.29	4.535938590369853	1.221294363256785	-5.303996025681556
Chile		2100	642.45	3.268736866682232	438.4133611691023	-31.759146833356333
China		17	6.21	2.7378728338594343	3.549060542797495	-42.84190325971953
Colombia	7900	2708.90	2.9163128945328363	1649.269311064718	-39.11664103271741
Costa_Rica	2150	533.30	4.031501968873055	448.85177453027137	-15.835031965071932
Czech_Republic	70	24.70	2.8337499620479916	14.613778705636744	-40.84029306789161
Denmark		34.59	6.81	5.078512123681372	7.221294363256786	6.023217613389797
Egypt		16.93	7.83	2.162182872395451	3.5344467640918578	-54.86048283099267
Euro_area	3.7	0.91	4.053905	0.7724425887265136	-15.367327766179539
Hong_Kong	19.2	7.75	2.477163647623471	4.008350730688935	-48.28468376568954
Hungary		900	282.88	3.1815858296409263	187.89144050104383	-33.57858393233975
India		116.25	63.43	1.832728992590257	24.269311064718163	-61.73843439268774
Indonesia	30500	13344.50 2.2855858218741805	6367.432150313152	-52.28422083769979
Israel		17.5	3.78	4.631651382217105	3.653444676409186	-3.3058166551752532
Japan		370	123.94	2.9854359139871707	77.24425887265136	-37.673571733044454
Latvia		2.45	0.91	2.6843425	0.511482254697286	-43.95944676409186
Lithuania	2.59	0.91	2.8377334999999997	0.5407098121085595	-40.75712943632568
Malaysia	7.65	3.81	2.0097202154209906	1.5970772442588728	-58.043419302275765
Mexico		49	15.74	3.113137120983497	10.22964509394572	-35.00757576234871
New_Zealand	5.9	1.51	3.909635	1.2317327766179542	-18.37922755741127
Norway		46	8.14	5.649335896003095	9.603340292275574	17.94020659714186
Pakistan	350	101.70	3.4414945919370696	73.06889352818372	-28.15251373826576
Peru		10	3.18	3.141196795979268	2.0876826722338206	-34.42177878957686
Philippines	163	45.21	3.605197677633398	34.029227557411275	-24.734912784271433
Poland		9.6	3.77	2.5439898240407035	2.0041753653444676	-46.889565260110565
Russia		107	56.82	1.883305465106046	22.338204592901878	-60.68255813974852
Saudi_Arabia	12	3.75	3.199530735492128	2.5052192066805845	-33.20395124233554
Singapore	4.7	1.37	3.439695550351288	0.9812108559498957	-28.190072017718414
South_Africa	26	12.41	2.0943167492982027	5.427974947807933	-56.27731212321081
South_Korea	4300	1143.50	3.760384783559248	897.7035490605427	-21.49509846431633
Sri_Lanka	350	133.85	2.614867388868136	73.06889352818372	-45.409866620706964
Sweden		43.7	8.52	5.127513156119282	9.123173277661795	7.046203676811724
Switzerland	6.5	0.95	6.821998320738875	1.3569937369519833	42.421676842147704
Taiwan		79	31.02	2.5467440361057383	16.49269311064718	-46.83206605207227
Thailand	108	34.09	3.1683168316831685	22.546972860125262	-33.85559850348291
Turkey		10.25	2.65	3.874210983860604	2.1398747390396657	-19.118768604162774
UAE		13	3.67	3.539389319212077	2.7139874739039667	-26.108782479914872
Ukraine		34	21.95	1.5489749430523918	7.09812108559499	-67.66231851665152
United_States	4.79	1.00	4.79	1.0	0.0
Uruguay		113	27.35	4.132382519656244	23.59081419624217	-13.72896618671724
Venezuela	132	197.00	0.6700507614213198	27.55741127348643	-86.01146635863633
Vietnam		60000	21810.00	2.751031636863824	12526.096033402922	-42.56718920952351
Austria		3.39	0.91	3.7142535000000003	0.7077244258872651	-22.458173277661796
Belgium		3.7	0.91	4.053905	0.7724425887265136	-15.367327766179539
Estonia		2.95	0.91	3.2321675	0.6158663883089771	-32.52259916492692
Finland		4.1	0.91	4.492165	0.8559498956158663	-6.217849686847609
France		4.1	0.91	4.492165	0.8559498956158663	-6.217849686847609
Germany		3.59	0.91	3.9333834999999997	0.7494780793319415	-17.88343423799582
Greece		3.05	0.91	3.3417325	0.6367432150313151	-30.235229645093952
Ireland		3.7	0.91	4.053905	0.7724425887265136	-15.367327766179539
Italy		4	0.91	4.3826	0.8350730688935282	-8.50521920668058
Netherlands	3.45	0.91	3.7799925	0.7202505219206681	-21.085751565762003
Portugal	3	0.91	3.28695	0.6263048016701461	-31.378914405010438
Spain		3.65	0.91	3.9991225	0.7620041753653445	-16.511012526096035
